s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12094,R＆B｜依加 陶喆 方大同 余佳运 郭顶,2025-07-30,29780,216,1,2,117,R&B/Soul 华语 夜晚
12095,【LBI利比】清甜的声音，唱支情歌吧,2023-05-28,188347,1810,24,12,125,华语 清新 流行
12096,回春丹/蛙池/新裤子/犬儒/二手玫瑰/告五人,2019-03-23,9583455,120000,1602,227,189,摇滚 华语 流行
12097,勿听丨emo天花板歌曲系列 伤感丨孤独丨遗憾,2025-07-17,150131,548,8,2,124,华语 轻音乐 伤感
12098,天赐的声音|神级唱将同台 点燃音乐新灵感 ,2025-05-28,42166,333,2,2,122,流行 综艺 华语
12099,永远无法厌倦的循环好歌（不断添加）,2025-07-14,441166,816,18,5,179,华语 流行 网络歌曲
12100,《逆爱 | 顺恨》池畏·栩渝 歌曲全收录,2025-07-02,52780,817,8,15,176,华语 流行 影视原声
12101,那些最煽情的电影情节都说爱能超越生死离别,2021-05-26,755087,2548,73,216,166,流行 华语 治愈
12102,立冬治愈歌单｜今晚就窝在被子里循环,2025-11-05,109736,280,4,1,24,华语 治愈 安静
12103,治愈系：毛不易 周深 单依纯 郁可唯,2024-12-25,72406,203,2,1,90,华语 治愈 工作
12104,我爱你 谢谢你那一刻的真心,2024-06-02,98358,535,11,7,228,华语 流行 思念
12105,催人泪下的悲情歌曲和伤感旋律,2025-04-27,692740,1468,27,340,167,华语 轻音乐 伤感
12106,让我看看谁的音乐品味这么好,2025-04-25,467181,1117,21,8,80,华语 流行 欧美
12107,旧时光的巷尾 微笑替我拥抱你,2025-09-02,1832262,7875,161,25,76,伤感 华语 怀旧
12108,老歌越听越经典，旧人越看越无情,2024-08-13,2580641,6589,80,241,300,华语 流行 经典
12109,劲爆嘻哈说唱 | 经济舱 飘向北方 电梯战神！！,2025-06-27,671789,3162,50,14,29,华语 说唱 兴奋
12110,华语流行100首，一人一首代表作,2024-10-18,12844291,43691,511,269,102,华语 流行 驾车
12111,建议和对象一起听的甜rap,2017-12-26,1070137,10921,315,140,185,说唱 浪漫 华语
12112,去KTV再也不慌！这些必点歌单，闭眼唱都好听,2025-07-30,119838,2374,15,2,111,华语 KTV 经典
12113,拧巴的人需要一个耐心的恋人,2025-07-30,64310,748,13,9,39,华语 R&B/Soul 说唱
12114,摇滚｜释放内心自由的狂野,2024-04-17,351089,2826,55,10,48,摇滚 流行 华语
12115,听薛之谦的人，都不快乐,2016-06-16,69815,323,11,1,77,华语 伤感 孤独
12116,中文流行经典集锦来袭 你最爱的在这里吗,2025-04-27,341288,2050,37,16,60,华语 R&B/Soul 经典
12117,台湾偶像剧经典金曲｜前奏一响 致敬青春,2023-10-25,1821772,19433,280,24,120,华语 怀旧 影视原声
12118,| 浪漫 温柔 |今天也是糖分超标的一天,2021-12-22,177637,987,15,3,190,华语 流行 浪漫
12119,缓缓飘落的枫叶像思念,2019-11-13,30939498,110000,1602,1513,200,华语 流行 翻唱
12120,再就业男团《至少今天很快乐》演唱会歌单,2025-09-14,147322,2599,144,30,132,华语 流行 快乐
12121,经典『怀念神仙打架的年代』华语经典歌,2025-08-04,83666,263,2,1,69,华语 流行 怀旧
12122,黄昏美的不像话 我们站在山顶开花,2021-03-29,205891,532,10,1,283,华语 民谣 放松
